VILLE;Code_postal;SUPERFICIE;POPULATION
EPOTHEMONT;52190;2350.0;269
EPOTHEMONT;20160;2150.0;81
EPOTHEMONT;33141;621.0;366
EPOTHEMONT;59287;390.0;2645
EPOTHEMONT;71460;501.0;85
EPOTHEMONT;38122;815.0;766
EPOTHEMONT;11420;2064.0;230
EPOTHEMONT;51360;571.0;702
EPOTHEMONT;52110;2229.0;420
EPOTHEMONT;52330;7404.0;663
EPOTHEMONT;52110;2303.0;103
EPOTHEMONT;52220;2801.0;2078
EPOTHEMONT;10200;493.0;273
EPOTHEMONT;52220;974.0;84
EPOTHEMONT;10200;879.0;148
EPOTHEMONT;10140;819.0;99
EPOTHEMONT;10240;1642.0;76
EPOTHEMONT;51320;1693.0;80
EPOTHEMONT;51800;1307.0;336
EPOTHEMONT;51470;728.0;543
EPOTHEMONT;51000;2603.0;45225
EPOTHEMONT;8310;966.0;73
EPOTHEMONT;51800;441.0;38
EPOTHEMONT;51800;2549.0;151
EPOTHEMONT;8220;700.0;89
EPOTHEMONT;2250;1326.0;168
EPOTHEMONT;2800;354.0;190
EPOTHEMONT;60400;321.0;279
EPOTHEMONT;2300;1783.0;1785
EPOTHEMONT;2300;839.0;328
EPOTHEMONT;2700;1491.0;734
EPOTHEMONT;2870;286.0;59
EPOTHEMONT;2860;295.0;139
EPOTHEMONT;2860;305.0;158
EPOTHEMONT;8290;1100.0;86
EPOTHEMONT;2350;657.0;161
EPOTHEMONT;2250;783.0;135
EPOTHEMONT;2820;429.0;62
EPOTHEMONT;2250;977.0;204
EPOTHEMONT;2250;996.0;194
EPOTHEMONT;2820;555.0;54
EPOTHEMONT;2250;984.0;154
EPOTHEMONT;2350;1026.0;234
EPOTHEMONT;8090;886.0;1660
EPOTHEMONT;8130;1528.0;169
EPOTHEMONT;8460;1064.0;186
EPOTHEMONT;8270;1534.0;122
EPOTHEMONT;8460;991.0;183
EPOTHEMONT;8350;778.0;141
EPOTHEMONT;71120;1685.0;342
EPOTHEMONT;38160;932.0;2040
EPOTHEMONT;24240;607.0;299
EPOTHEMONT;29440;1229.0;804
EPOTHEMONT;65100;303.0;124
EPOTHEMONT;64400;320.0;519
EPOTHEMONT;56800;5134.0;9373
EPOTHEMONT;13740;2312.0;4507
EPOTHEMONT;84830;2026.0;2448
EPOTHEMONT;73130;460.0;532
EPOTHEMONT;44420;1207.0;2173
EPOTHEMONT;1250;1019.0;1371
MORVILLIERS;71220;1261.0;166
MORVILLIERS;4380;4416.0;732
MORVILLIERS;3350;2648.0;258
MORVILLIERS;18190;2400.0;187
MORVILLIERS;30960;1037.0;840
MORVILLIERS;63340;580.0;298
MORVILLIERS;62850;1058.0;908
MORVILLIERS;7610;636.0;946
MORVILLIERS;53350;1329.0;243
MORVILLIERS;79100;751.0;1919
MORVILLIERS;9800;948.0;109
MORVILLIERS;30440;1860.0;196
MORVILLIERS;85750;3342.0;2574
MORVILLIERS;47270;759.0;178
MORVILLIERS;59390;326.0;13317
MORVILLIERS;8200;1557.0;396
MORVILLIERS;15100;1318.0;123
MORVILLIERS;20222;2228.0;1654
MORVILLIERS;62190;432.0;471
MORVILLIERS;44119;3406.0;5156
MORVILLIERS;63430;1492.0;2074
MORVILLIERS;11220;863.0;84
MORVILLIERS;30350;523.0;428
MORVILLIERS;85310;4974.0;3501
MORVILLIERS;56330;8290.0;7212
MORVILLIERS;22330;699.0;921
MORVILLIERS;33890;564.0;96
MORVILLIERS;84190;1897.0;2388
MORVILLIERS;63490;1216.0;352
MORVILLIERS;88490;675.0;110
MORVILLIERS;63570;391.0;143
MORVILLIERS;70140;1285.0;140
