NOM_POLLUANT;QUANTITE;COORDONNEE;IDENTIFIANT;COORDONNEE;NOM_DEPARTEMENT
Ammoniac (NH3);168200;48.6200854235, -3.0914272918;22248220;48.6200854235, -3.0914272918;AUBE
Ammoniac (NH3);162100;48.6775056976, -3.29800553168;22254144;48.6775056976, -3.29800553168;SEINE-ET-MARNE
Ammoniac (NH3);50100;48.4202509181, -2.65749434582;22258294;48.4202509181, -2.65749434582;AUBE
Ammoniac (NH3);53800;48.2409964586, -2.8848741842;22260100;48.2409964586, -2.8848741842;AUBE
Ammoniac (NH3);90500;48.2409964586, -2.8848741842;22260103;48.2409964586, -2.8848741842;AUBE
Ammoniac (NH3);85200;48.2409964586, -2.8848741842;22260105;48.2409964586, -2.8848741842;AUBE
Ammoniac (NH3);136700;48.7278448653, -3.38570591792;22265105;48.7278448653, -3.38570591792;AUBE
Ammoniac (NH3);23200;48.2354085885, -3.31707557726;22266173;48.2354085885, -3.31707557726;MARNE
Ammoniac (NH3);79600;48.5586915892, -3.10541824081;22272094;48.5586915892, -3.10541824081;AUBE
Ammoniac (NH3);95600;48.1347609078, -2.70552956314;22275122;48.1347609078, -2.70552956314;AUBE
Ammoniac (NH3);13000;48.1898544615, -2.8473194698;22279023;48.1898544615, -2.8473194698;AISNE
Ammoniac (NH3);17300;48.3981399812, -2.73249381793;22281023;48.3981399812, -2.73249381793;AISNE
Ammoniac (NH3);113000;48.3981399812, -2.73249381793;22281115;48.3981399812, -2.73249381793;AISNE
Ammoniac (NH3);146800;48.4177889347, -3.0654205796;22284019;48.4177889347, -3.0654205796;AISNE
Ammoniac (NH3);134700;48.4177889347, -3.0654205796;22284104;48.4177889347, -3.0654205796;AISNE
Ammoniac (NH3);67400;48.2473454163, -2.55196889758;22292006;48.2473454163, -2.55196889758;AISNE
Ammoniac (NH3);114200;48.3591562762, -2.52459851551;22296095;48.3591562762, -2.52459851551;AISNE
Ammoniac (NH3);114600;48.2663717923, -2.15833820019;22305001;48.2663717923, -2.15833820019;PARIS
Ammoniac (NH3);85800;48.4817226671, -3.10333882692;22322020;48.4817226671, -3.10333882692;PARIS
Ammoniac (NH3);10300;48.3876076252, -3.38851540614;22328088;48.3876076252, -3.38851540614;SEINE-SAINT-DENIS
Ammoniac (NH3);100700;48.3876076252, -3.38851540614;22328172;48.3876076252, -3.38851540614;PARIS
Ammoniac (NH3);38400;48.2724621789, -3.10504200794;22334060;48.2724621789, -3.10504200794;SEINE-SAINT-DENIS
Ammoniac (NH3);130000;48.2724621789, -3.10504200794;22334071;48.2724621789, -3.10504200794;SEINE-SAINT-DENIS
Ammoniac (NH3);40700;48.4250667506, -3.06884071742;22335007;48.4250667506, -3.06884071742;VAL-DE-MARNE
Ammoniac (NH3);33300;48.4250667506, -3.06884071742;22335092;48.4250667506, -3.06884071742;VAL-DE-MARNE
Ammoniac (NH3);34800;48.4250667506, -3.06884071742;22335095;48.4250667506, -3.06884071742;VAL-D'OISE
Ammoniac (NH3);172800;48.3324148175, -2.33974719481;22337214;48.3324148175, -2.33974719481;OISE
Ammoniac (NH3);61400;48.3082705626, -3.47505557848;22344149;48.3082705626, -3.47505557848;SEINE-ET-MARNE
Ammoniac (NH3);75600;48.3005871488, -3.5161733237;22351045;48.3005871488, -3.5161733237;SEINE-ET-MARNE
Ammoniac (NH3);12100;48.1999892672, -2.28863043897;22371001;48.1999892672, -2.28863043897;SEINE-ET-MARNE
Ammoniac (NH3);41100;48.6176108959, -2.98621816332;22375002;48.6176108959, -2.98621816332;SEINE-ET-MARNE
Ammoniac (NH3);36000;48.6558107078, -3.05812526202;22378012;48.6558107078, -3.05812526202;OISE
Ammoniac (NH3);12200;48.3888310425, -2.06405793742;22380049;48.3888310425, -2.06405793742;OISE
Ammoniac (NH3);14600;48.7577801722, -3.36705011995;22381028;48.7577801722, -3.36705011995;OISE
